,ALAND,AWATER,BLKGRPCE,COUNTYFP,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,S01B11001e1,S02B09019e2,S07B15003e15,S07B15003e16,S07B15003e17,S07B15003e18,S07B15003e19,S07B15003e20,S07B15003e21,S07B15003e22,S07B15003e23,S07B15003e24,S07B15003e25,S08B21001e1,S08B21001e2,S19B28008e10,S19B28008e2,S19B28008e4,S19B28008e9,STATEFP,Shape__Area,Shape__Length,TRACTCE
59,1173861,9666,1,059,S,060590636011,15000US060590636011,+33.6484875,-117.9440313,G5030,Block Group 1,1722,666,1891,47,26,104,51,88,176,45,467,191,25,10,1530,74,9,1882,1815,67,06,1712314.1171875,7268.98940085411,063601
60,411152,0,1,059,S,060590638081,15000US060590638081,+33.6567655,-117.9289293,G5030,Block Group 1,1723,890,4030,69,72,647,47,32,200,51,163,36,24,0,2855,83,374,3656,3241,415,06,594962.3203125,4350.21680313886,063808
61,324708,0,2,059,S,060590638082,15000US060590638082,+33.6543314,-117.9234419,G5030,Block Group 2,1724,664,1931,49,57,257,42,106,205,101,167,63,7,0,1561,58,41,1890,1720,170,06,469853.3671875,2912.03332017259,063808
62,946824,0,1,059,S,060590639021,15000US060590639021,+33.6840828,-117.9138241,G5030,Block Group 1,1725,677,2219,25,27,275,21,138,328,128,429,112,69,0,1654,76,62,2157,2157,0,06,1370998.1796875,4821.01666278732,063902
63,203799,0,2,059,S,060590639022,15000US060590639022,+33.6756026,-117.9169344,G5030,Block Group 2,1726,762,1571,0,0,97,0,44,236,151,426,125,48,0,1452,102,31,1540,1508,32,06,295042.26953125,2146.97082461495,063902
64,775763,0,1,059,S,060590639031,15000US060590639031,+33.6800462,-117.8996871,G5030,Block Group 1,1727,541,1988,20,79,295,35,16,318,68,151,64,26,0,1505,59,77,1911,1888,23,06,1123196.64453125,5493.87015927376,063903
65,604461,0,2,059,S,060590639032,15000US060590639032,+33.6848629,-117.9021898,G5030,Block Group 2,1728,548,1869,0,29,180,13,142,247,163,272,104,51,31,1578,79,49,1820,1805,8,06,875273.12890625,3991.99437531642,063903
66,580268,0,2,059,S,060590639042,15000US060590639042,+33.6748410,-117.8928079,G5030,Block Group 2,1729,561,1904,16,110,269,0,64,141,160,311,123,8,6,1577,106,42,1862,1742,120,06,840044.1953125,4231.02151719862,063904
67,513888,0,1,059,S,060590639051,15000US060590639051,+33.6655703,-117.9139178,G5030,Block Group 1,1730,532,1483,8,0,251,34,82,190,79,401,72,0,18,1295,65,30,1453,1443,10,06,743790.3671875,3783.59543925742,063905
68,295853,0,2,059,S,060590639052,15000US060590639052,+33.6594019,-117.9171290,G5030,Block Group 2,1731,538,1001,12,11,135,0,52,200,31,288,32,0,10,952,81,24,977,895,82,06,428150.640625,2969.17612508978,063905
69,325623,0,1,059,S,060590639061,15000US060590639061,+33.6540480,-117.9132833,G5030,Block Group 1,1732,890,2334,22,30,309,131,189,271,89,468,130,12,17,1988,104,98,2236,2120,32,06,471176.0703125,4130.307669091,063906
70,111446,0,2,059,S,060590639062,15000US060590639062,+33.6553294,-117.9132600,G5030,Block Group 2,1733,488,1397,77,38,254,74,40,45,16,160,21,0,13,1103,35,16,1381,1125,256,06,161266.4453125,1817.26177064177,063906
71,625083,0,3,059,S,060590639063,15000US060590639063,+33.6601360,-117.9041334,G5030,Block Group 3,1734,931,2120,34,0,232,0,36,220,139,566,153,13,0,2076,85,236,1884,1846,38,06,904613.71875,4487.18419549531,063906
72,835355,0,3,059,S,060590639023,15000US060590639023,+33.6713146,-117.9129663,G5030,Block Group 3,1804,474,1240,0,0,321,17,0,263,0,113,13,0,0,1053,123,52,1188,903,185,06,1209237.2265625,4531.54036539093,063902
73,426535,0,4,059,S,060590639024,15000US060590639024,+33.6781853,-117.9129197,G5030,Block Group 4,1805,632,1625,0,14,118,0,27,95,95,196,127,47,0,1432,14,109,1516,1360,156,06,617534.546875,3772.65363544421,063902
74,548656,0,3,059,S,060590639053,15000US060590639053,+33.6600313,-117.9114501,G5030,Block Group 3,1807,613,1601,14,0,176,25,24,232,112,418,120,14,12,1346,68,151,1450,1337,113,06,794013.859375,3692.44528688203,063905
75,485396,0,4,059,S,060590639084,15000US060590639084,+33.6788131,-117.8833480,G5030,Block Group 4,1813,934,1475,0,9,147,16,99,310,70,454,137,12,0,1377,60,0,1475,1390,0,06,702767.89453125,3831.79598082643,063908
