,ALAND,AWATER,BLKGRPCE,COUNTYFP,D01B01001e1,D01B01001e10,D01B01001e11,D01B01001e12,D01B01001e13,D01B01001e14,D01B01001e15,D01B01001e16,D01B01001e17,D01B01001e18,D01B01001e19,D01B01001e2,D01B01001e20,D01B01001e21,D01B01001e22,D01B01001e23,D01B01001e24,D01B01001e25,D01B01001e26,D01B01001e31,D01B01001e32,D01B01001e33,D01B01001e34,D01B01001e35,D01B01001e36,D01B01001e37,D01B01001e38,D01B01001e39,D01B01001e40,D01B01001e41,D01B01001e42,D01B01001e43,D01B01001e44,D01B01001e45,D01B01001e46,D01B01001e47,D01B01001e48,D01B01001e49,D01B01001e7,D01B01001e8,D01B01001e9,D02B01002Ae1,D02B01002Be1,D02B01002Ce1,D02B01002De1,D02B01002Ee1,D02B01002Fe1,D02B01002Ge1,D02B01002He1,D02B01002Ie1,D02B01002e1,D02B01002e2,D02B01002e3,D03B02001e1,D03B02001e2,D03B02001e3,D03B02001e4,D03B02001e5,D03B02001e6,D03B02001e7,D03B02001e8,D04B02001e1,FUNCSTAT,GEOID,GEOID_Data,INTPTLAT,INTPTLON,MTFCC,NAMELSAD,OBJECTID,STATEFP,Shape__Area,Shape__Length,TRACTCE
30,367145,0,1,059,1154,19,40,58,54,60,45,72,10,33,23,600,19,11,0,0,0,12,554,0,0,27,32,48,91,26,62,64,21,30,0,10,0,0,0,0,0,12,0,0,0,35.3,,,44.4,,45.2,13.4,38.5,29.5,34.4,36.8,31.5,1154,739,10,0,125,0,148,132,1154,S,060590637021,15000US060590637021,+33.6507555,-117.9142435,G5030,Block Group 1,1228,06,531216.77734375,3206.04848558277,063702
31,303512,0,3,059,1089,63,133,44,32,0,83,49,19,0,7,689,0,0,0,33,41,19,400,0,0,8,15,85,55,0,18,6,24,0,0,0,0,0,73,0,0,0,0,0,0,29.7,,,,,14.5,72.2,29.8,22.7,29.6,29.6,29.5,1089,677,27,0,7,0,271,107,1089,S,060590637023,15000US060590637023,+33.6461280,-117.9166525,G5030,Block Group 3,1229,06,439101.39453125,3021.46596102601,063702
32,216099,0,4,059,2180,56,10,24,9,120,204,36,40,0,0,1215,20,0,66,11,0,0,965,36,0,37,33,67,53,91,40,167,45,65,0,74,0,0,38,12,0,0,23,15,32,30.3,,,,,33.0,22.3,41.0,22.9,31.5,21.6,38.9,2180,1494,0,24,25,0,503,134,2180,S,060590637024,15000US060590637024,+33.6470785,-117.9233509,G5030,Block Group 4,1230,06,312644.35546875,2587.5525635441,063702
33,581047,0,1,059,1698,34,34,52,86,19,99,34,53,0,12,756,6,17,16,17,16,28,942,0,52,0,44,97,24,40,49,82,11,73,53,25,8,34,36,17,20,19,33,48,0,37.1,36.7,,52.8,,5.8,41.6,47.2,22.8,36.0,36.4,34.5,1698,1391,38,35,77,0,49,108,1698,S,060590638021,15000US060590638021,+33.6769860,-117.9233225,G5030,Block Group 1,1231,06,841216.1171875,3553.98587510465,063802
34,646174,0,2,059,1220,19,56,39,51,27,25,49,39,32,38,599,0,2,72,8,16,42,621,0,19,0,0,10,37,26,32,78,20,39,13,53,7,56,9,85,39,39,0,0,0,56.3,,,44.9,,,9.7,56.4,15.9,54.3,49.7,57.1,1220,1096,10,0,48,0,7,59,1220,S,060590638022,15000US060590638022,+33.6758714,-117.9312877,G5030,Block Group 2,1232,06,935478.578125,3845.54634370662,063802
35,423643,0,1,059,905,0,7,10,65,34,0,62,37,21,17,450,18,8,13,21,23,0,455,14,0,0,0,10,29,33,12,57,15,12,19,16,29,0,7,53,0,0,22,0,0,41.4,,,42.8,,,,39.8,48.1,41.9,44.6,38.7,905,840,0,0,56,0,0,9,905,S,060590638031,15000US060590638031,+33.6702081,-117.9412986,G5030,Block Group 1,1233,06,613233.4921875,3804.199778877,063803
36,1651865,0,2,059,930,12,66,30,86,84,29,41,47,9,0,526,12,28,25,14,0,0,404,0,0,0,0,17,88,47,33,36,7,52,17,7,0,8,33,7,0,10,0,0,0,44.0,,,38.6,,43.2,35.2,44.2,43.2,42.7,43.7,40.7,930,747,7,0,78,0,55,43,930,S,060590638032,15000US060590638032,+33.6603343,-117.9429536,G5030,Block Group 2,1234,06,2390575.25,7871.43993996206,063803
37,197192,0,3,059,1303,70,102,42,79,40,33,8,55,8,33,716,0,0,8,0,0,0,587,0,0,24,32,89,70,27,34,72,18,76,32,9,16,8,0,0,0,0,0,0,30,29.9,,23.6,30.7,,,32.5,35.4,27.2,30.3,25.9,33.8,1303,1087,21,29,51,0,26,89,1303,S,060590638033,15000US060590638033,+33.6539211,-117.9430753,G5030,Block Group 3,1235,06,285333.76953125,2370.80714975405,063803
38,400260,0,4,059,1469,48,55,35,107,7,17,79,137,16,14,772,0,7,21,10,24,18,697,0,21,0,14,58,51,61,16,67,19,80,44,7,34,6,29,60,8,0,0,25,12,49.4,,,37.7,53.9,31.3,,50.9,35.7,37.2,36.7,46.5,1469,938,0,21,55,52,363,40,1469,S,060590638034,15000US060590638034,+33.6549214,-117.9360639,G5030,Block Group 4,1236,06,579187.3203125,3171.83226423339,063803
39,590016,0,1,059,1317,25,37,54,57,18,48,67,59,11,9,625,0,46,30,0,0,0,692,6,0,0,49,57,107,95,20,38,36,36,21,10,29,30,11,8,0,9,12,9,9,38.0,,,34.9,,32.7,10.5,38.9,32.3,36.9,38.2,34.4,1317,1071,0,0,99,0,129,18,1317,S,060590638051,15000US060590638051,+33.6912075,-117.9295010,G5030,Block Group 1,1237,06,854466.94921875,6411.06866659246,063805
